InvName	InvID1	InvID2	InvID3	InvID4	InvID5	InvID6	InvID7
191	Collaborative Seed & Growth Partners	4887506612912128.csv	5149032452194304.csv	NA	NA	NA	NA	NA
192	Communitech HYPERDRIVE	5679949549666304.csv	6499200279773184.csv	NA	NA	NA	NA	NA
193	Continuity Fund	5759899862564864.csv	6510203553972224.csv	NA	NA	NA	NA	NA
194	Coolidge Corner Investment	4812325928304640.csv	5150592582287360.csv	NA	NA	NA	NA	NA
195	Core Innovation Capital	5131475162759168.csv	5232643104833536.csv	NA	NA	NA	NA	NA
196	Cowboy Ventures	5951213694615552.csv	6204813020758016.csv	NA	NA	NA	NA	NA
197	Craig Froude	5680182065102848.csv	6265600498204672.csv	NA	NA	NA	NA	NA
198	Craig Shapiro	4852276682293248.csv	6228631068082176.csv	NA	NA	NA	NA	NA
199	Creandum	5098731758157824.csv	5685480070840320.csv	NA	NA	NA	NA	NA
200	Cyberport Hong Kong	4999694560264192.csv	6406792674279424.csv	NA	NA	NA	NA	NA
201	Cü¾™“ ¼sar Bardajü¾Œ£¤¼	5559710409293824.csv	5675767727915008.csv	NA	NA	NA	NA	NA
202	Dan Gilbert	4896480351485952.csv	5739977925197824.csv	NA	NA	NA	NA	NA
203	Dan Knox	5228366030438400.csv	5600232456847360.csv	NA	NA	NA	NA	NA
204	Dan Rubinstein	5227600049864704.csv	5660016723886080.csv	NA	NA	NA	NA	NA
205	Daniel Debow	5159138996781056.csv	6012132625743872.csv	NA	NA	NA	NA	NA
206	Daniel Martin	5633533204758528.csv	5913053111517184.csv	NA	NA	NA	NA	NA
207	Daniel Wallace	5269112922046464.csv	5767509772861440.csv	NA	NA	NA	NA	NA
208	Dario Meli	4511002699759616.csv	5172320100417536.csv	NA	NA	NA	NA	NA
209	Dave McClure	4838758948012032.csv	5578817108180992.csv	NA	NA	NA	NA	NA
210	Dave Morin	5187734566076416.csv	6263688201764864.csv	NA	NA	NA	NA	NA
211	Dave Panos	5133277287415808.csv	6660006497746944.csv	NA	NA	NA	NA	NA
212	Dave Pell	5133993250914304.csv	5746089730768896.csv	NA	NA	NA	NA	NA
213	Dave Schappell	4894483430768640.csv	6108714335469568.csv	NA	NA	NA	NA	NA
214	David Cummings	5100698618298368.csv	5114692875845632.csv	NA	NA	NA	NA	NA
215	David Jones	4966606803304448.csv	5095882080911360.csv	NA	NA	NA	NA	NA
216	David Kaufmann	4867117639794688.csv	5126333214490624.csv	NA	NA	NA	NA	NA
217	David King	5145060211425280.csv	5437911310794752.csv	NA	NA	NA	NA	NA
218	David Marcus	5661387422433280.csv	5976392659369984.csv	NA	NA	NA	NA	NA
219	David McInnis	5728497074962432.csv	5749966421098496.csv	NA	NA	NA	NA	NA
220	David Ossip	4929484088147968.csv	5074513091887104.csv	NA	NA	NA	NA	NA
221	David Pritchard	5760026765426688.csv	6286126415347712.csv	NA	NA	NA	NA	NA
222	David Shen Ventures	5729505117208576.csv	6292374921674752.csv	NA	NA	NA	NA	NA
223	David Wallerstein	2092002.csv	5639910371360768.csv	NA	NA	NA	NA	NA
224	DCM Ventures	5113698494447616.csv	6324597200781312.csv	NA	NA	NA	NA	NA
225	DDBK PARTNERS	5769167374385152.csv	6670845665607680.csv	NA	NA	NA	NA	NA
226	Dean Gilbert	5815862749560832.csv	6556574067720192.csv	NA	NA	NA	NA	NA
227	Derek Smith	4925587177078784.csv	5758068629438464.csv	NA	NA	NA	NA	NA
228	DeSimone Group Investments	5682180181196800.csv	6240405725118464.csv	NA	NA	NA	NA	NA
229	Devon Galloway	4815786157801472.csv	6063195869413376.csv	NA	NA	NA	NA	NA
230	Diane Loviglio	5122812914171904.csv	5189898847911936.csv	NA	NA	NA	NA	NA
231	Digital Garage	4975087484665856.csv	6220570622427136.csv	NA	NA	NA	NA	NA
232	Digital Leaders Ventures	5537097108684800.csv	6236898209038336.csv	NA	NA	NA	NA	NA
233	Digital Science	5851905578237952.csv	6498415479357440.csv	NA	NA	NA	NA	NA
234	Dimitris Vranopoulos	5202685384982528.csv	6363665959747584.csv	NA	NA	NA	NA	NA
235	Dirk Elmendorf	5936293141807104.csv	6253366254501888.csv	NA	NA	NA	NA	NA
236	Dirk Herzbach	5309673519448064.csv	5768865690681344.csv	NA	NA	NA	NA	NA
237	DMGI	4860020332167168.csv	5672528139780096.csv	NA	NA	NA	NA	NA
238	DN Capital	5147039448956928.csv	5711894476226560.csv	NA	NA	NA	NA	NA
239	Doug Chertok	5764757655126016.csv	5970026037248000.csv	NA	NA	NA	NA	NA
240	Doug Fieldhouse	5766917453250560.csv	6248834153840640.csv	NA	NA	NA	NA	NA
241	Drew Houston	4857797191663616.csv	5092805173051392.csv	NA	NA	NA	NA	NA
242	dRx Capital	5149273473679360.csv	5649026187788288.csv	NA	NA	NA	NA	NA
243	e.Republic Ventures	5406606099480576.csv	5712345313574912.csv	NA	NA	NA	NA	NA
244	East Ventures	4800651041177600.csv	6602634337189888.csv	NA	NA	NA	NA	NA
245	Edastra Venture Capital	5144314313179136.csv	5933871442952192.csv	NA	NA	NA	NA	NA
246	Edison Partners	4701579324162048.csv	5633225305096192.csv	NA	NA	NA	NA	NA
247	Edovate Capital	4792535088103424.csv	6277948499820544.csv	NA	NA	NA	NA	NA
248	Eduardo Mangarelli	5133137063444480.csv	5889445924438016.csv	NA	NA	NA	NA	NA
249	Eileen Rudden	4562944297795584.csv	5688209207984128.csv	NA	NA	NA	NA	NA
250	El Paso Advisors	5129406683021312.csv	5831502617116672.csv	NA	NA	NA	NA	NA
251	Elementum Ventures	5092204867485696.csv	5213627015495680.csv	NA	NA	NA	NA	NA
252	Elevation Partners	4579412175486976.csv	5704576338493440.csv	NA	NA	NA	NA	NA
253	Elizabeth Hart	4954461873111040.csv	5668970564681728.csv	NA	NA	NA	NA	NA
254	Emagen Investment Group, Inc.	5450962948849664.csv	5497964214616064.csv	NA	NA	NA	NA	NA
255	Emanuel Stehle	5312175295954944.csv	5732022941122560.csv	NA	NA	NA	NA	NA
256	Emilios Markou	6302975207145472.csv	6517067696046080.csv	NA	NA	NA	NA	NA
257	Endure Capital	4907013142216704.csv	5244074005102592.csv	NA	NA	NA	NA	NA
258	ENISA	4913441802289152.csv	6409761343930368.csv	NA	NA	NA	NA	NA
259	Entree Capital	5105030495469568.csv	5798863013150720.csv	NA	NA	NA	NA	NA
260	Entrepreneurs Roundtable Accelerator	6293161408200704.csv	2005.csv	NA	NA	NA	NA	NA
261	Eric Chen	4607780031823872.csv	5104197338923008.csv	NA	NA	NA	NA	NA
262	Eric Kagan	5073041759404032.csv	5651572063207424.csv	NA	NA	NA	NA	NA
263	Eric Urhane	5053559221518336.csv	6391536455516160.csv	NA	NA	NA	NA	NA
264	Eric Witte	4698614119006208.csv	6044307312082944.csv	NA	NA	NA	NA	NA
265	Erik Swan	5076019300007936.csv	5377417392685056.csv	NA	NA	NA	NA	NA
266	ESADE BAN	5670438986317824.csv	5740242837438464.csv	NA	NA	NA	NA	NA
267	Escala.vc	4649163488755712.csv	5713092776296448.csv	NA	NA	NA	NA	NA
268	Esther Dyson	5134743498653696.csv	5587613201203200.csv	NA	NA	NA	NA	NA
269	Excel Venture Management	4791204768120832.csv	5930394398490624.csv	NA	NA	NA	NA	NA
270	Eyal Gura	4848886833217536.csv	5348795000815616.csv	NA	NA	NA	NA	NA
271	Fast Track Asia	5620786689736704.csv	5692822204186624.csv	NA	NA	NA	NA	NA
272	FastForward Innovations	5189305202900992.csv	5217155733782528.csv	NA	NA	NA	NA	NA
273	fbFund	6286594298347520.csv	7002.csv	NA	NA	NA	NA	NA
274	Federico Pirzio-Biroli	4646479251636224.csv	6507469668876288.csv	NA	NA	NA	NA	NA
275	Female Founders Fund	4843898501332992.csv	5996900939464704.csv	NA	NA	NA	NA	NA
276	Fernando Botella	5121075922862080.csv	6739949034405888.csv	NA	NA	NA	NA	NA
277	FF Angel LLC	5655190036283392.csv	6733356930695168.csv	NA	NA	NA	NA	NA
278	Flashstarts	4795368319483904.csv	589005.csv	NA	NA	NA	NA	NA
279	Flat6Labs	4898246489014272.csv	5387697879252992.csv	NA	NA	NA	NA	NA
280	Forerunner Ventures	4680101107073024.csv	5730598790365184.csv	NA	NA	NA	NA	NA
281	Fortü¾™“ ¼ Ventures	5032250005520384.csv	5741813889499136.csv	NA	NA	NA	NA	NA
282	FounderFuel	5190346682138624.csv	1004.csv	NA	NA	NA	NA	NA
283	FuturePlay	5987686154240000.csv	6048392429961216.csv	NA	NA	NA	NA	NA
284	G2T3V	4947553925726208.csv	6321465808912384.csv	NA	NA	NA	NA	NA
285	GameFounders	6630276243390464.csv	91001.csv	NA	NA	NA	NA	NA
286	GammaRebels	5430758009208832.csv	93003.csv	NA	NA	NA	NA	NA
287	Gary Vaynerchuk	4779399006126080.csv	5147325404020736.csv	NA	NA	NA	NA	NA
288	gener8tor	4760315665317888.csv	263012.csv	NA	NA	NA	NA	NA
289	General Atlantic	5176021154267136.csv	5658436398219264.csv	NA	NA	NA	NA	NA
290	Geoff Judge	5165055226150912.csv	5662236601221120.csv	NA	NA	NA	NA	NA
